page,level,name_zh,name_en,poisoning_chapter19,accidental,intentional_self_harm,undetermined_intent,treatment_adverse_effect
1646,0,氯米帕明[氯丙咪嗪](抗抑郁药),Clomipramine,T43.0,X41.-,X61.-,Y11.-,Y49.0
1646,0,氯莫环素(抗生素),Clomocycline,T36.4,X44.-,X64.-,Y14.-,Y40.4
1646,0,氯那唑酸(抗炎镇痛药),Lonazolac,T39.3,X40.-,X60.-,Y10.-,Y45.3
1646,0,氯尼达明(生育调节药),Lonidamine,T45.1,X44.-,X64.-,Y14.-,Y43.3
1647,0,氯尼辛(抗炎镇痛药),Clonixin,T39.8,X40.-,X60.-,Y10.-,Y45.8
1647,0,氯帕胺(利尿剂),Clopamide,T50.2,X44.-,X64.-,Y14.-,Y54.5
1647,0,氯哌斯汀[氯苄哌醚](镇咳药),Cloperastine,T48.3,X44.-,X64.-,Y14.-,Y55.3
1647,0,氯哌噻吨(抗精神病药),Clopenthixol,T43.4,X41.-,X61.-,Y11.-,Y49.4
1647,0,氯嘌呤(抗肿瘤药),Chloropurine,T45.1,X44.-,X64.-,Y14.-,Y43.1
1647,0,氯泼尼醇(肾上腺皮质激素类),Cloprednol,T38.0,X44.-,X64.-,Y14.-,Y42.0
1647,0,氯泊酮(抗感染药),Cloponone,T37.3,X44.-,X64.-,Y14.-,Y41.3
1647,0,氯普鲁卡因(局麻药),Chloroprocaine,T41.3,X44.-,X64.-,Y14.-,Y48.3
1647,1,腰椎,spinal,T41.3,X44.-,X64.-,Y14.-,Y48.3
1647,0,氯普噻吨(抗精神病药),Chlorprothixene,T43.4,X41.-,X61.-,Y11.-,Y49.4
1647,0,氯普唑仑(催眠药),Loprazolam,T42.4,X41.-,X61.-,Y11.-,Y47.1
1647,0,氯羟喹(消毒防腐剂),Cloxiquine,T49.0,X44.-,X64.-,Y14.-,Y56.0
1647,0,氯羟去甲安定-现译名,Lorazepam,T42.4,X41.-,X61.-,Y11.-,Y47.1
1647,0,氯氰菊酯,Cypermethrin,T60.1,X48.-,X68.-,Y18.-,
1647,0,氯膦酸(钙代谢调节药),Clodronic acid,T50.9,X44.-,X64.-,Y14.-,Y54.7
1647,0,氯醛[三氯乙醛],Chloral,T42.6,X41.-,X61.-,Y11.-,Y47.2
1647,1,水合[水合氯醛],hydrate,T42.6,X41.-,X61.-,Y11.-,Y47.2
1647,1,衍生物,derivative,T42.6,X41.-,X61.-,Y11.-,Y47.2
1647,0,氯醛比林(催眠药),Dichloralphenozone,T42.6,X41.-,X61.-,Y11.-,Y47.5
1647,0,氯醛己醇,Chloralodol,T42.6,X41.-,X61.-,Y11.-,Y47.2
1647,0,氯醛糖(镇静催眠药),Chloralose,T60.4,X48.-,X68.-,Y18.-,
1647,0,氯醛甜菜碱(镇静催眠药),Cloral betaine,T42.6,X41.-,X61.-,Y11.-,Y47.2
1647,0,氯噻平(抗精神病药),Clotiapine,T43.5,X41.-,X61.-,Y11.-,Y49.5
1647,0,氯噻嗪(利尿剂),"Chlorothiazide, Saluretic",T50.2,X44.-,X64.-,Y14.-,Y54.3
1647,0,氯噻酮(利尿剂),Chlortalidone,T50.2,X44.-,X64.-,Y14.-,Y54.5
1647,0,氯噻西泮(安定药),Clotiazepam,T42.4,X41.-,X61.-,Y11.-,Y47.1
1647,0,氯麝酚(杀菌药),Chlorothymol,T49.4,X44.-,X64.-,Y14.-,Y56.4
1647,0,氯鼠酮(灭鼠药),Chlorophacinone,T60.4,X48.-,X68.-,Y18.-,
1647,0,氯酸盐(钾)(钠)NEC,Chlorate (potassium),T60.3,X48.-,X68.-,Y18.-,
1647,1,除草剂,herbicide,T60.3,X48.-,X68.-,Y18.-,
1647,0,氯索隆(利尿剂),Clorexolone,T50.2,X44.-,X64.-,Y14.-,Y54.5
1647,0,氯特胺[邻氯苯丁胺],Clortermine,T50.5,X44.-,X64.-,Y14.-,Y57.0
1647,0,氯替平(抗精神病药),Clorotepine,T44.3,X43.-,X63.-,Y13.-,Y51.3
1647,0,氯筒箭毒碱,Tubocurarine (chloride),T48.1,X44.-,X64.-,Y14.-,Y55.1
1647,0,氯脱氢甲基睾(甾)酮,Chlorodehydromethyltest-,T38.7,X44.-,X64.-,Y14.-,Y42.7
1647,0,氯噁唑仑(安定药),Cloxazolam,T42.4,X41.-,X61.-,Y11.-,Y47.1
1647,0,氯烯雌醚(雌激素类),Chlorotrianisene,T38.5,X44.-,X64.-,Y14.-,Y42.5
1647,0,氯硝柳胺(抗蠕虫药),Niclosamide,T37.4,X44.-,X64.-,Y14.-,Y41.4
1647,0,氯硝西泮(抗惊厥药),Clonazepam,T42.4,X41.-,X61.-,Y11.-,Y47.1
1647,0,氯溴甲烷(灭火剂),Chlorobromomethane,T53.6,X46.-,X66.-,Y16.-,
1647,0,氯烟贝特(降血脂药),Ronifibrate,T46.6,X44.-,X64.-,Y14.-,Y52.6
1648,0,氯乙苯噁嗪-现译名依替福嗪,Etifoxine,T42.6,X41.-,X61.-,Y11.-,Y47.8
1648,0,氯乙啡啶(蒸气),Ethidium chloride (vapor),T59.8,X46.-,X66.-,Y16.-,
1648,0,"氯乙烷 - 见 乙基, 氯","Chloroethane, Chlorethyl - see Ethyl, chloride",T53.6,X46.-,X66.-,Y16.-,
1648,0,氯乙烯,Chloroethylene,T53.6,X46.-,X66.-,Y16.-,
1648,0,"氯乙烯基二氯胂[路易士毒气], 非战争中","Chlorovinyl dichloroarsine, not in war",T57.0,X49.-,X69.-,Y19.-,
1648,0,氯乙酰苯,Chloroacetophenone,T59.3,X47.-,X67.-,Y17.-,
1648,0,氯扎平 -现译名 氯氮平,Clozapine,T42.4,X41.-,X61.-,Y11.-,Y47.1
1648,0,氯化松节油,Strobane,T60.1,X48.-,X68.-,Y18.-,
1648,0,氯草酸钾(弱安定药),Clorazepate dipotassium,T42.4,X41.-,X61.-,Y11.-,Y47.1
1648,0,氯唑沙宗(神经肌肉阻断药),Chlorzoxazone,T42.8,X41.-,X61.-,Y11.-,Y46.8
1648,0,氯唑西林[邻氯青霉素],Cloxacillin,T36.0,X44.-,X64.-,Y14.-,Y40.0
1648,1,激素,hormone,T38.5,X44.-,X64.-,Y14.-,Y42.5
1648,1,兴奋剂,stimulant .-,T38.5,X44.-,X64.-,Y14.-,Y42.5
1648,0,卵黄素,Lututrin,T48.2,X44.-,X64.-,Y14.-,Y55.2
